t;U;V;Lx;β;δ;v;Q;ΔT;I;μ;g0;g;fMFT
1.0;3.0;2.0;30;100.0;0.1;Dict("ΔS" => 4.630240249313493e-6, "Δs" => -0.0003470490744305178, "gS" => 0.39547483433399844);Dict("ΔS" => 4.630240249313493e-6, "Δs" => -0.0003470490744305178, "gS" => 0.39547483433399844);0.116609901;2;0.24260461269889;0.2;0.2;-1.5822588686508
1.0;3.5;1.0;30;100.0;0.1;Dict("ΔS" => -2.001528176363604e-5, "Δs" => -0.00043211173987227455, "gS" => 0.39549586938398373);Dict("ΔS" => -2.001528176363604e-5, "Δs" => -0.00043211173987227455, "gS" => 0.39549586938398373);0.104769955;2;0.320939667163718;0.2;0.2;-1.58228467552612
1.0;3.5;1.2;30;100.0;0.1;Dict("ΔS" => -4.761736910453235e-5, "Δs" => -0.0006305199417112607, "gS" => 0.39549264376328097);Dict("ΔS" => -4.761736910453235e-5, "Δs" => -0.0006305199417112607, "gS" => 0.39549264376328097);0.123656773;2;0.305238253602562;0.2;0.2;-1.58228153657688
1.0;3.5;1.4;30;100.0;0.1;Dict("ΔS" => 5.3132588455991e-5, "Δs" => 0.00033481253192815, "gS" => 0.3954890363335889);Dict("ΔS" => 5.3132588455991e-5, "Δs" => 0.00033481253192815, "gS" => 0.3954890363335889);0.197533115;3;0.289554694056557;0.2;0.2;-1.58227825228344
1.0;3.5;1.6;30;100.0;0.1;Dict("ΔS" => 9.361881047307293e-5, "Δs" => 0.0006672374614424644, "gS" => 0.39548494377465304);Dict("ΔS" => 9.361881047307293e-5, "Δs" => 0.0006672374614424644, "gS" => 0.39548494377465304);0.107234571;2;0.273886538633517;0.2;0.2;-1.58227284688785
1.0;3.5;1.8;30;100.0;0.1;Dict("ΔS" => -7.724116783826483e-5, "Δs" => -0.0006114696436725325, "gS" => 0.39548026204303527);Dict("ΔS" => -7.724116783826483e-5, "Δs" => -0.0006114696436725325, "gS" => 0.39548026204303527);0.172883498;3;0.258236205827153;0.2;0.2;-1.5822666296742
1.0;3.5;2.0;30;100.0;0.1;Dict("ΔS" => 0.00012726056779882626, "Δs" => 0.0007454663175725693, "gS" => 0.39547483010949824);Dict("ΔS" => 0.00012726056779882626, "Δs" => 0.0007454663175725693, "gS" => 0.39547483010949824);0.170788487;3;0.242605018193839;0.2;0.2;-1.58225812022859
1.0;4.0;1.0;30;100.0;0.1;Dict("ΔS" => -1.6704029735762028e-5, "Δs" => -0.0006520038265025058, "gS" => 0.3954958673678734);Dict("ΔS" => -1.6704029735762028e-5, "Δs" => -0.0006520038265025058, "gS" => 0.3954958673678734);0.173304565;3;0.320939031333784;0.2;0.2;-1.58228431698777
1.0;4.0;1.2;30;100.0;0.1;Dict("ΔS" => 8.541982983966247e-5, "Δs" => 0.0007366276126906393, "gS" => 0.3954926437044757);Dict("ΔS" => 8.541982983966247e-5, "Δs" => 0.0007366276126906393, "gS" => 0.3954926437044757);0.169550449;3;0.305238376818374;0.2;0.2;-1.58228132574742
1.0;4.0;1.4;30;100.0;0.1;Dict("ΔS" => 5.664115255889662e-5, "Δs" => 0.00048075141072212105, "gS" => 0.39548903561590926);Dict("ΔS" => 5.664115255889662e-5, "Δs" => 0.00048075141072212105, "gS" => 0.39548903561590926);0.252772597;4;0.28955483493606;0.2;0.2;-1.58227806448081
1.0;4.0;1.6;30;100.0;0.1;Dict("ΔS" => -8.738157148076754e-5, "Δs" => -0.0008361696459885238, "gS" => 0.39548494269411494);Dict("ΔS" => -8.738157148076754e-5, "Δs" => -0.0008361696459885238, "gS" => 0.39548494269411494);0.171380646;3;0.273886765080294;0.2;0.2;-1.58227242696943
1.0;4.0;1.8;30;100.0;0.1;Dict("ΔS" => 8.816096970744517e-5, "Δs" => 0.0005891190687065864, "gS" => 0.39548026355550725);Dict("ΔS" => 8.816096970744517e-5, "Δs" => 0.0005891190687065864, "gS" => 0.39548026355550725);0.289484147;5;0.258236576444245;0.2;0.2;-1.58226668040395
1.0;4.0;2.0;30;100.0;0.1;Dict("ΔS" => -6.0014695325087104e-5, "Δs" => -0.0006255860353187948, "gS" => 0.3954748333312908);Dict("ΔS" => -6.0014695325087104e-5, "Δs" => -0.0006255860353187948, "gS" => 0.3954748333312908);0.291710283;5;0.242605477153291;0.2;0.2;-1.58225839610701
1.0;4.5;1.0;30;100.0;0.1;Dict("ΔS" => -4.982999629579829e-5, "Δs" => -0.0006499744767901433, "gS" => 0.3954958685171128);Dict("ΔS" => -4.982999629579829e-5, "Δs" => -0.0006499744767901433, "gS" => 0.3954958685171128);0.255494262;4;0.32093847527559;0.2;0.2;-1.58228433144976
