t;U;V;Lx;β;δ;v;Q;ΔT;I;μ;g0;g;fMFT
1;2.5;1;30;100;0.1;"Dict(""ΔS"" => 6.502141217364848e-5, ""Δs"" => 0.00013465951621289692, ""gS"" => 0.3954958705918506)";"Dict(""ΔS"" => 0.028481409778263106, ""Δs"" => 0.15568852041809636, ""gS"" => 0.016857772174472263)";0.120770045;2;0.320939640219775;0.2;0.2;-1.58228492866187
1;2.5;1.2;30;100;0.1;"Dict(""ΔS"" => -3.119861056030045e-5, ""Δs"" => -0.00048331794872702195, ""gS"" => 0.39549264269669065)";"Dict(""ΔS"" => 0.09622002273394893, ""Δs"" => 0.6179774649399188, ""gS"" => 0.003227895159940708)";0.066668746;1;0.305238110959482;0.2;0.2;-1.58228178338161
1;2.5;1.4;30;100;0.1;"Dict(""ΔS"" => 3.543670136293245e-5, ""Δs"" => 2.9757828663702954e-5, ""gS"" => 0.39548903745710284)";"Dict(""ΔS"" => 0.002492059796972525, ""Δs"" => 0.03118332280520481, ""gS"" => 0.002867115645399654)";0.120977601;2;0.289554515055544;0.2;0.2;-1.58227842466735
1;2.5;1.6;30;100;0.1;"Dict(""ΔS"" => 1.38156287713685e-5, ""Δs"" => -0.00010120682627094848, ""gS"" => 0.3954849486206695)";"Dict(""ΔS"" => 0.02162107259156395, ""Δs"" => 0.13096465493465143, ""gS"" => 0.004088836433324694)";0.054302755;1;0.273886213334892;0.2;0.2;-1.58227354972213
1;2.5;1.8;30;100;0.1;"Dict(""ΔS"" => 0.00011678297584730846, ""Δs"" => 0.0004496218975509013, ""gS"" => 0.3954802616445396)";"Dict(""ΔS"" => 0.10296734707593996, ""Δs"" => 0.5508287238218499, ""gS"" => 0.004686976129930631)";0.066666893;1;0.25823559096932;0.2;0.2;-1.58226692794549
1;2.5;2;30;100;0.1;"Dict(""ΔS"" => 7.889572905415656e-5, ""Δs"" => 0.00016443868193154217, ""gS"" => 0.39547483612698114)";"Dict(""ΔS"" => 0.050881375747750396, ""Δs"" => 0.19633215807291834, ""gS"" => 0.004321338879731407)";0.116171185;2;0.242604598013752;0.2;0.2;-1.58225904683933
1;3;1;30;100;0.1;"Dict(""ΔS"" => -3.1920733589124965e-5, ""Δs"" => -0.0006847586422582247, ""gS"" => 0.39549586392441205)";"Dict(""ΔS"" => 0.11081646264328153, ""Δs"" => 0.8491973241897669, ""gS"" => 0.02102779743090588)";0.065329768;1;0.32094058405882;0.2;0.2;-1.58228425352196
1;3;1.2;30;100;0.1;"Dict(""ΔS"" => -1.3327808115764084e-5, ""Δs"" => -0.000363623689250224, ""gS"" => 0.39549264613735247)";"Dict(""ΔS"" => 0.06372484993041559, ""Δs"" => 0.4495702780414598, ""gS"" => 0.002543086558171037)";0.107989159;2;0.305238224277767;0.2;0.2;-1.5822819393997
1;3;1.4;30;100;0.1;"Dict(""ΔS"" => -6.512210044241616e-6, ""Δs"" => -0.0002531396253563348, ""gS"" => 0.39548903641955335)";"Dict(""ΔS"" => 0.045006848826176594, ""Δs"" => 0.3115851445150598, ""gS"" => 0.0028782568510798967)";0.1192977;2;0.289554527950055;0.2;0.2;-1.58227832243702
1;3;1.6;30;100;0.1;"Dict(""ΔS"" => -3.134353244427056e-6, ""Δs"" => -0.00022494390500512438, ""gS"" => 0.3954849480980576)";"Dict(""ΔS"" => 0.03892052758064358, ""Δs"" => 0.27538691267198745, ""gS"" => 0.0032656448814560868)";0.172087776;2;0.273886482423693;0.2;0.2;-1.58227348273993
1;3;1.8;30;100;0.1;"Dict(""ΔS"" => -2.687001818668206e-7, ""Δs"" => -0.0002508161737479142, ""gS"" => 0.3954802652880279)";"Dict(""ΔS"" => 0.04086783552805753, ""Δs"" => 0.30519228216219263, ""gS"" => 0.0037419415905293185)";0.125569369;2;0.258235885299613;0.2;0.2;-1.58226715189496
